2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
0.769573;4.23361;6.46188;5.14009;0.769573;3.36291;3.61849;3.608;0.769573;4.45535;5.08716;3.7501;0.769573;6.5768;5.5864;5.91447;0.769573;11.6685;9.58613;15.6067
0.779573;4.58982;6.511;5.68178;0.779573;3.86216;4.14874;4.15398;0.779573;4.936;5.7986;4.4048;0.779573;8.24669;6.83715;7.24485;0.779573;14.7002;12.0981;19.0137
0.789495;5.10909;6.79615;6.47237;0.789495;4.52306;4.87401;4.88021;0.789495;5.54206;6.80568;5.28647;0.789495;10.4192;8.51038;9.00486;0.789495;17.979;15.1499;23.0721
0.799496;5.84104;7.41032;7.58341;0.799496;5.41093;5.85439;5.85821;0.799496;6.54438;8.16468;6.4409;0.799496;13.1262;10.6781;11.2617;0.799496;21.7312;18.6904;27.418
0.809495;6.84478;8.35637;9.12407;0.809495;6.59921;7.14233;7.15855;0.809495;7.84758;10.072;7.98824;0.809495;16.2352;13.3384;14.0102;0.809495;25.7309;22.56;31.8788
0.819495;8.23668;9.877;11.1888;0.819495;8.20807;8.88899;8.9114;0.819495;9.6672;12.5144;9.99002;0.819495;19.7733;16.4731;17.2308;0.819495;29.9715;26.718;36.4093
0.829495;10.094;12.0271;13.8376;0.829495;10.3195;11.1635;11.1106;0.829495;11.9355;15.642;12.5144;0.829495;23.7153;20.0299;20.8929;0.829495;34.2354;31.1016;40.831
0.839496;12.4996;14.8457;17.1116;0.839496;12.9798;14.0117;13.8472;0.839496;14.8681;19.3589;15.5471;0.839496;27.9802;23.907;24.917;0.839496;38.6986;35.488;45.1912
0.849496;15.3978;18.2126;20.892;0.849496;16.1384;17.33;16.9681;0.849496;18.3237;23.5771;19.0128;0.849496;32.2141;27.9835;29.0817;0.849496;42.8395;39.6966;49.2599
0.859495;18.9112;22.2243;25.3252;0.859495;19.8568;21.1829;20.4867;0.859495;22.0545;28.3455;22.9653;0.859495;36.5051;32.2651;33.3694;0.859495;46.9098;43.8833;53.2557
0.869495;22.8556;26.7943;30.28;0.869495;24.0625;25.5106;24.3906;0.869495;27.7237;33.5511;27.3059;0.869495;40.7137;36.4679;37.7182;0.869495;50.7333;47.7342;57.0943
0.879496;27.4204;31.9279;35.725;0.879496;28.7393;30.2557;28.6497;0.879496;32.0443;39.0762;31.9017;0.879496;44.9094;40.6102;41.9053;0.879496;54.3334;51.4438;60.6372
0.889496;32.4291;37.5153;41.578;0.889496;33.7852;35.2267;33.1425;0.889496;36.0884;44.7296;36.5557;0.889496;48.9308;44.6348;45.8001;0.889496;57.7285;54.9628;63.6318
0.899496;37.8956;43.4948;47.672;0.899496;39.06;40.4209;37.7258;0.899496;41.1047;50.3804;41.1991;0.899496;52.8647;48.3443;49.5317;0.899496;60.8327;58.2912;66.4499
